eval_losses,eval_accs,eval_final_accs
76.48554,0.018725922,0.018720062
27.690552,0.31850666,0.31965968
23.963408,0.33482224,0.33479348
28.930511,0.31252426,0.3122861
28.560211,0.32255787,0.3235209
25.545519,0.32248643,0.3212016
26.678104,0.31828633,0.31819087
28.594889,0.32184738,0.32363665
26.973263,0.32683542,0.32825023
28.093594,0.3431461,0.34309706
33.375195,0.33384827,0.33459365
34.275528,0.30951673,0.30971742
32.539738,0.30478054,0.30415562
25.714085,0.32626936,0.32651028
35.346706,0.29274565,0.29137534
31.06221,0.3163925,0.31638065
29.199224,0.32833558,0.32343182
26.818106,0.33642232,0.3359993
29.072582,0.31512898,0.31520665
39.93832,0.2880176,0.28837365
33.01171,0.29231346,0.2915409
26.771793,0.35855547,0.35521936
34.518307,0.3222205,0.32538408
30.706326,0.31901535,0.31966653
35.04515,0.29804212,0.2980788
29.78147,0.33346346,0.3344778
27.2729,0.30399516,0.30346808
28.597275,0.31919003,0.31960097
30.695292,0.33164924,0.33242947
27.591623,0.33274975,0.33304405
33.854637,0.28768066,0.2870087
28.515228,0.31327087,0.31316262
28.718517,0.31789872,0.31800103
29.61965,0.2842037,0.28414878
26.646164,0.3295777,0.33031562
32.64371,0.29738015,0.2982162
31.985806,0.30271736,0.30474058
29.167316,0.31784672,0.32254478
29.124317,0.32364035,0.3225615
27.706076,0.298083,0.29781267
31.557587,0.28629583,0.28614047
29.029669,0.33396047,0.334444
25.580378,0.33593705,0.33024377
27.732906,0.33569223,0.33509102
24.839943,0.3409617,0.34240544
27.896942,0.31744742,0.317842
25.523748,0.31865865,0.3176421
28.747814,0.3074337,0.30737132
28.642673,0.33506495,0.33519858
27.005802,0.30633688,0.3085705
26.134613,0.31402862,0.3139929
30.031261,0.30976725,0.3117864
29.177032,0.3050364,0.30506223
28.903992,0.31178284,0.31152487
24.535852,0.30893037,0.30792755
27.599716,0.31481797,0.31216547
24.905445,0.32506073,0.32531756
31.016184,0.32595962,0.32361788
25.082722,0.3441447,0.3444249
27.379501,0.32166156,0.32185954
24.642765,0.31555223,0.3146276
30.902979,0.30378348,0.30388457
27.43252,0.3222823,0.32300547
27.701813,0.31708527,0.31668472
29.329884,0.323788,0.3241648
28.417704,0.3079904,0.3079962
29.148844,0.2802454,0.28027177
23.991539,0.32860506,0.32988337
28.449371,0.32449394,0.3218203
25.04845,0.3462413,0.34782273
26.936932,0.33166453,0.3319547
26.919031,0.32416192,0.32483783
27.1563,0.33200085,0.33074924
24.49922,0.34712607,0.34636647
27.623907,0.32342005,0.3220772
27.085438,0.34344816,0.34358054
28.104757,0.33678463,0.33721945
28.864338,0.33449584,0.3354876
27.056885,0.34232077,0.34462592
26.023602,0.36154416,0.36226794
24.746439,0.35879275,0.36600748
29.747538,0.3337283,0.33435348
26.300419,0.34244752,0.3441111
25.790934,0.3360101,0.33572033
27.42641,0.32459515,0.32384735
25.590425,0.3368383,0.33687592
24.748934,0.33789256,0.33735093
26.345676,0.35231042,0.35035437
23.075672,0.3749533,0.37597704
26.304302,0.3559901,0.3554642
25.763004,0.3301715,0.32673717
24.749533,0.34453562,0.34643185
24.743866,0.3528599,0.35437506
30.604502,0.33083278,0.33164603
27.59254,0.33732045,0.3370656
25.777887,0.33066684,0.32978314
25.346577,0.34804028,0.34495926
24.941788,0.33890128,0.33960536
22.614079,0.35984272,0.35985938
26.559296,0.33211392,0.3304128
