eval_losses,eval_accs,eval_final_accs
8.72146,0.007958902,0.007958406
7.619798,0.016366698,0.016366618
6.54114,0.028497044,0.02849626
5.4944654,0.040885527,0.040887423
3.860035,0.05642297,0.056422126
3.711719,0.07645846,0.07645781
3.2649035,0.10110952,0.101108834
4.3622503,0.13346966,0.13349561
3.1429641,0.16318238,0.16315511
2.523171,0.19669981,0.19666344
2.5903816,0.22849055,0.22846587
2.2787244,0.25468498,0.254697
2.300047,0.27089477,0.27090198
1.9173568,0.2901691,0.29018283
1.907931,0.3093836,0.311672
1.8640585,0.31677687,0.31671327
1.4699373,0.33109692,0.33109492
2.2981129,0.33588377,0.33581668
1.8522203,0.35400864,0.35390756
1.3201427,0.36030245,0.36032364
