eval_losses,eval_accs,eval_final_accs
8.72146,0.007958902,0.007958406
7.619798,0.016366698,0.016366618
6.54114,0.028497044,0.02849626
5.4944654,0.040885527,0.040887423
3.860035,0.05642297,0.056422126
3.711719,0.07645846,0.07645781
3.2649035,0.10110952,0.101108834
4.3622503,0.13346966,0.13349561
3.1429641,0.16318238,0.16315511
2.523171,0.19669981,0.19666344
2.5903816,0.22849055,0.22846587
2.2787244,0.25468498,0.254697
2.300047,0.27089477,0.27090198
1.9173568,0.2901691,0.29018283
1.907931,0.3093836,0.311672
1.8640585,0.31677687,0.31671327
1.4699373,0.33109692,0.33109492
2.2981129,0.33588377,0.33581668
1.8522203,0.35400864,0.35390756
1.3201427,0.36030245,0.36032364
1.9577843,0.36752895,0.36750937
1.4002279,0.38194656,0.38193595
1.6651623,0.38721675,0.3872218
2.2481651,0.38864583,0.38861257
1.3254266,0.4072268,0.4072422
1.6677414,0.40906033,0.4090907
1.9980053,0.40277657,0.4026912
1.4660866,0.41212505,0.41210717
1.7832501,0.4156559,0.41565472
1.4214051,0.4253723,0.42542547
1.7803233,0.4260869,0.42606625
1.3523746,0.4285528,0.4285573
1.7028944,0.43094963,0.4309712
1.5820634,0.431,0.43097466
1.2160087,0.44353122,0.4435772
1.8186764,0.43259996,0.43404895
1.898222,0.43725577,0.43721452
1.4080056,0.43964687,0.4396662
1.4224384,0.44563597,0.44562036
1.8107803,0.4433392,0.44336414
1.7183626,0.44675174,0.44675
1.2860632,0.4482104,0.44820705
1.8035214,0.4488166,0.44885555
1.358669,0.45766473,0.45765486
1.2249234,0.45395088,0.45396703
1.2583777,0.4540928,0.45407486
1.3871036,0.45440745,0.45323473
1.3446138,0.44889522,0.44889513
1.748794,0.45433012,0.45433754
1.2730006,0.45692605,0.45695615
1.2250788,0.45912066,0.4591554
1.218379,0.46100092,0.4609869
1.0037402,0.46613613,0.46821254
1.5741196,0.45275646,0.45274216
1.5505514,0.4623959,0.46241555
2.021296,0.4612902,0.46131873
1.597403,0.45945996,0.45945382
1.5056473,0.46884352,0.4688905
1.4870697,0.46088496,0.46087775
1.1516069,0.4658926,0.46592206
2.39016,0.46545774,0.46551627
1.5337166,0.4604857,0.46044126
1.4228065,0.47146782,0.47153687
1.5102189,0.47057128,0.47058526
1.60583,0.4687801,0.46864542
1.5879297,0.4699572,0.4700014
1.2991965,0.4643546,0.46436357
1.6259689,0.46475798,0.46474233
1.3542356,0.47285065,0.47206813
1.6866901,0.46891713,0.46888328
1.5870554,0.47258186,0.47254282
1.3680809,0.47246456,0.47244877
1.7041283,0.4652072,0.4651905
1.4836811,0.47292298,0.47293386
1.0506876,0.48095194,0.4809526
1.3331056,0.47496024,0.47495922
1.4778426,0.46827802,0.46825925
1.2120216,0.47335425,0.47335282
1.5433327,0.46751627,0.46751827
1.4637104,0.47528648,0.47531706
1.3851569,0.487719,0.4877945
1.4628037,0.4822877,0.48228472
1.5746887,0.4755978,0.4750896
1.1380666,0.4772489,0.4772274
1.2410718,0.47779626,0.47780165
1.1656591,0.48206425,0.4821047
1.4126852,0.47678012,0.47680926
1.3815676,0.47577268,0.47571898
1.4963499,0.47837496,0.47834936
1.2219961,0.47726545,0.47721872
1.5657059,0.4743374,0.4743054
1.1527472,0.48243937,0.4825017
1.297087,0.4731543,0.4731148
1.1600708,0.47818527,0.4781944
1.4860404,0.4795498,0.47952843
1.7112459,0.47351846,0.47352767
1.6625364,0.47867388,0.4787243
1.803252,0.47014132,0.47012678
1.7193701,0.46470323,0.4645969
1.3449328,0.47960272,0.48206443
1.5281793,0.47987714,0.47914094
1.3457487,0.47910517,0.4790485
1.2114583,0.47821277,0.47823963
1.9084294,0.4719922,0.47202405
1.6480633,0.46814376,0.4681498
1.3854519,0.47749305,0.47746316
1.6837171,0.47536364,0.4753522
1.1427951,0.47698632,0.47701317
1.5668124,0.47460335,0.47460586
1.1448557,0.4804371,0.48040858
1.8501686,0.47247648,0.4724779
1.0692899,0.48483387,0.48481146
1.1772163,0.48031625,0.48030743
1.900725,0.4671275,0.46715158
1.7323526,0.4744512,0.47442728
1.6115553,0.47193462,0.4719481
1.3071946,0.47399038,0.47392964
1.4944638,0.47792655,0.47791094
1.4005139,0.48131943,0.48131084
1.4267709,0.47320715,0.47320327
1.2441609,0.47686777,0.47686356
1.2192445,0.47938758,0.47940344
1.6222413,0.4748005,0.47479582
1.6745812,0.47429475,0.47428554
1.243208,0.4822392,0.48228317
1.0556152,0.48285285,0.4828686
1.3636774,0.4822429,0.48301777
1.822155,0.4701016,0.471062
1.1397731,0.48098928,0.48329034
1.7875202,0.47066307,0.47059712
1.4828779,0.47823834,0.4782335
1.3442703,0.48171577,0.48171073
1.8514801,0.47217244,0.47206274
1.2928874,0.47969025,0.47555214
1.341078,0.4818944,0.4823386
1.5791748,0.47561532,0.47560462
1.3124073,0.48588046,0.48588166
1.5746776,0.48235264,0.48236054
1.1718327,0.47581953,0.4757679
1.5319608,0.4803156,0.48033237
1.0952547,0.47895664,0.47893825
1.2093737,0.48178416,0.48178846
1.2908332,0.47355938,0.47353053
2.2132585,0.468186,0.46815854
0.9788469,0.47984734,0.4798259
1.0768988,0.4772059,0.47719216
1.315772,0.4716298,0.47158018
1.1959903,0.48663655,0.48669323
1.2230531,0.47082335,0.47075385
1.478623,0.4805631,0.48129377
1.2502075,0.4783949,0.47838387
1.356705,0.4749424,0.4751659
1.4530267,0.48079485,0.48077637
1.406234,0.47938234,0.47935933
1.5033884,0.47298485,0.47294465
1.239801,0.48629326,0.48634616
1.440825,0.485222,0.48282045
1.8940884,0.4850633,0.48508626
1.3855282,0.47776103,0.47773686
1.4826689,0.47385272,0.47386178
1.5558927,0.483718,0.4837862
1.5430683,0.47996563,0.48005685
1.7927272,0.4741288,0.47416392
1.2984989,0.47969842,0.47965455
1.5859902,0.4764974,0.47654194
1.3661089,0.4845384,0.4846115
1.0544521,0.48890534,0.48891163
1.5370966,0.47836137,0.47838408
1.3709769,0.4833726,0.48340616
1.5455251,0.47130862,0.4712797
1.763583,0.47605544,0.47608835
1.449379,0.4781932,0.47819167
1.1953945,0.4762281,0.4762404
1.4913745,0.47492045,0.47491187
1.5417745,0.47514096,0.47515765
1.6128991,0.47383785,0.47377482
1.5189593,0.4713253,0.4713089
1.465304,0.4696806,0.46965823
1.3180988,0.48018342,0.481726
1.5721856,0.4813974,0.48141685
1.4305445,0.4731285,0.47306958
1.4033557,0.47546643,0.47547156
1.1770241,0.47131452,0.47128
1.4254774,0.47789946,0.47793555
1.246973,0.48450822,0.48455673
1.7948622,0.47627658,0.47626835
1.5875801,0.47251016,0.47247443
1.6607533,0.47362107,0.47364196
1.397418,0.4745822,0.47457665
1.3166454,0.47766733,0.4776891
1.179554,0.47373873,0.47367698
1.8070114,0.47674924,0.47670874
1.0635045,0.48091573,0.48091444
1.0860935,0.4838015,0.48380238
1.3351742,0.48122153,0.48122543
1.26175,0.47879332,0.4788075
1.3532199,0.47398782,0.4739937
1.2019194,0.4789412,0.47894078
1.2853884,0.48229533,0.4823042
1.2003138,0.48427644,0.48423252
