eval_losses,eval_accs,eval_final_accs
5.4638667,0.0386288,0.038620077
1.6855339,0.45471954,0.45472717
1.3025408,0.47076154,0.47078085
1.6388319,0.47670355,0.47676206
1.8286747,0.47783446,0.47779828
1.2045828,0.47912994,0.4791754
1.2814353,0.4814573,0.4814445
1.212633,0.48587114,0.4859001
1.2383239,0.48320848,0.4831902
2.3160036,0.48589602,0.48606998
0.99378383,0.48407355,0.48409826
2.207748,0.4635477,0.46357793
1.2712739,0.47705784,0.47701392
1.912946,0.47410718,0.47414222
2.0253015,0.475672,0.47567606
2.4606814,0.48213953,0.48211774
2.9408708,0.4704576,0.47357807
3.0800834,0.47679883,0.47688228
2.440617,0.48402658,0.4840807
2.962123,0.47059637,0.47047672
