eval_losses,eval_accs,eval_final_accs
9.195872,0.010468181,0.010434855
2.564396,0.22034886,0.21849617
2.0266237,0.3102658,0.31105977
1.9451116,0.35649738,0.3564955
1.4484665,0.3968148,0.39681917
1.6596243,0.4132982,0.41323295
1.2787704,0.42750302,0.42751414
2.195876,0.4358794,0.43589616
1.2284026,0.44898638,0.44901243
1.5245694,0.44490653,0.44489422
1.3980957,0.4524302,0.452427
1.3891505,0.45805416,0.45807567
1.8568027,0.4626011,0.4626791
1.1736271,0.4642054,0.46420708
1.166885,0.46998635,0.46999207
1.4236028,0.4639635,0.46398187
1.2921404,0.45913348,0.45906767
1.1353714,0.47297686,0.47299042
1.5246426,0.467336,0.46732178
1.6298151,0.46648425,0.4664287
