eval_losses,eval_accs,eval_final_accs
6.264348,0.040885545,0.04088054
1.5020949,0.4684034,0.4684573
1.9278238,0.47249383,0.47255525
1.9395945,0.48054466,0.4806149
1.7125232,0.4817659,0.48186904
2.025467,0.4845121,0.48482156
1.2552512,0.47914004,0.47910318
1.3531055,0.47296888,0.4729778
1.7307466,0.4640099,0.46402723
1.5375134,0.475648,0.47568718
1.3522025,0.4817497,0.4817933
1.6864347,0.46005136,0.45860618
1.8410994,0.4700338,0.470033
1.94016,0.46801415,0.4679683
1.2511454,0.47974926,0.47980434
1.2942972,0.49754804,0.4976883
1.1849785,0.4711848,0.4711512
1.6427462,0.47398233,0.47397846
1.5446268,0.47446242,0.47443804
1.4473537,0.4803614,0.48034582
