eval_losses,eval_accs,eval_final_accs
6.3916636,0.010346444,0.010346477
2.731638,0.22637662,0.22629893
2.7779276,0.29514366,0.2954965
1.9604127,0.34277266,0.3427791
2.6606076,0.38154158,0.38157696
1.7495044,0.40977868,0.40546823
1.6263545,0.4236804,0.42368355
1.7779872,0.41967487,0.4195916
1.429803,0.4377799,0.43780813
1.9165189,0.45088872,0.45096707
1.642205,0.45493302,0.4550069
1.6971897,0.44952983,0.44943896
2.040201,0.4546024,0.45461583
1.6471239,0.44902086,0.44901824
1.4302193,0.46645045,0.4664393
1.5318463,0.4747917,0.47477633
1.8747238,0.45860305,0.45846862
1.2889701,0.471061,0.47106466
1.3286159,0.46648997,0.4664677
1.5847669,0.46594954,0.4658413
